position_mm,actual_mm,mean_signal
24.0000,24.0000,1.08143366e-01
24.0101,24.0102,1.43247586e-01
24.0202,24.0203,1.60096807e-01
24.0303,24.0305,1.33077431e-01
24.0404,24.0403,1.14492493e-01
24.0505,24.0503,1.01347523e-01
24.0606,24.0607,1.41015355e-01
24.0707,24.0707,1.63137598e-01
24.0808,24.0806,1.54746997e-01
24.0909,24.0910,1.05260980e-01
24.1010,24.1009,7.98983422e-02
24.1111,24.1112,1.43774234e-01
24.1212,24.1210,1.99258208e-01
24.1313,24.1311,1.63034238e-01
24.1414,24.1415,9.59958359e-02
24.1515,24.1514,7.02441621e-02
24.1616,24.1613,1.12602281e-01
24.1717,24.1715,2.07109968e-01
24.1818,24.1819,2.08809530e-01
24.1919,24.1919,1.18573061e-01
24.2020,24.2021,5.66815143e-02
24.2121,24.2122,5.30959956e-02
24.2222,24.2222,1.42314726e-01
24.2323,24.2324,2.08805286e-01
24.2424,24.2425,1.60575667e-01
24.2525,24.2525,9.59508391e-02
24.2626,24.2628,3.93917936e-02
24.2727,24.2728,4.17796627e-02
24.2828,24.2827,1.71365116e-01
24.2929,24.2930,1.58766951e-01
24.3030,24.3028,1.47910489e-01
24.3131,24.3131,1.05980800e-01
24.3232,24.3230,3.90422775e-02
24.3333,24.3335,4.59379382e-02
24.3434,24.3432,1.22102711e-01
24.3535,24.3533,1.32628357e-01
24.3636,24.3637,1.84664591e-01
24.3737,24.3738,1.61930521e-01
24.3838,24.3837,2.78939597e-02
24.3939,24.3940,4.77911453e-02
24.4040,24.4038,1.09253750e-01
24.4141,24.4143,1.90022366e-01
24.4242,24.4243,2.23554832e-01
24.4343,24.4341,9.72202646e-02
24.4444,24.4443,2.83605287e-02
24.4545,24.4545,6.40566358e-02
24.4646,24.4645,1.65616631e-01
24.4747,24.4746,2.19188356e-01
24.4848,24.4850,1.65159004e-01
24.4949,24.4946,6.94257675e-02
24.5051,24.5050,5.65757516e-02
24.5152,24.5150,1.12820522e-01
24.5253,24.5253,2.12894945e-01
24.5354,24.5353,1.76095267e-01
24.5455,24.5454,9.45888084e-02
24.5556,24.5556,7.97322242e-02
24.5657,24.5655,1.04718704e-01
24.5758,24.5758,1.69128267e-01
24.5859,24.5860,1.65191688e-01
24.5960,24.5961,1.31419542e-01
24.6061,24.6061,8.16687314e-02
24.6162,24.6162,1.17653439e-01
24.6263,24.6261,1.48576543e-01
24.6364,24.6361,1.73179815e-01
24.6465,24.6462,1.21980510e-01
24.6566,24.6563,1.08802657e-01
24.6667,24.6665,1.20281879e-01
24.6768,24.6766,1.58403455e-01
24.6869,24.6865,1.60188184e-01
24.6970,24.6970,1.35851264e-01
24.7071,24.7071,1.24495038e-01
24.7172,24.7171,1.32706719e-01
24.7273,24.7273,1.49900744e-01
24.7374,24.7372,1.48197233e-01
24.7475,24.7474,1.45295967e-01
24.7576,24.7573,1.34825419e-01
24.7677,24.7678,1.20315637e-01
24.7778,24.7777,1.53479678e-01
24.7879,24.7879,1.39895041e-01
24.7980,24.7981,1.27492241e-01
24.8081,24.8081,1.39203974e-01
24.8182,24.8182,1.24033853e-01
24.8283,24.8282,1.53246283e-01
24.8384,24.8379,1.42710131e-01
24.8485,24.8486,1.28727080e-01
24.8586,24.8585,1.34828179e-01
24.8687,24.8685,1.43799199e-01
24.8788,24.8789,1.41552813e-01
24.8889,24.8888,1.24270034e-01
24.8990,24.8990,1.30134503e-01
24.9091,24.9087,1.26318968e-01
24.9192,24.9190,1.29219627e-01
24.9293,24.9292,1.39348829e-01
24.9394,24.9395,1.37635807e-01
24.9495,24.9493,1.15265188e-01
24.9596,24.9596,1.33374634e-01
24.9697,24.9694,1.43813773e-01
24.9798,24.9799,1.33774369e-01
24.9899,24.9899,1.21957314e-01
25.0000,24.9999,1.16168342e-01
